,mean_uAx,mean_uAy,mean_uAz,mean_uRx,mean_uRy,mean_uRz,sd_uAx,sd_uAy,sd_uAz,sd_uRx,sd_uRy,sd_uRz,iqr_uAx,iqr_uAy,iqr_uAz,iqr_uRx,iqr_uRy,iqr_uRz,min_uAx,min_uAy,min_uAz,min_uRx,min_uRy,min_uRz,max_uAx,max_uAy,max_uAz,max_uRx,max_uRy,max_uRz
350,0.22073942524554516,0.1733040995037872,0.27142022790795217,0.25891594380816574,0.2583972316236582,0.28247649555995197,1.0521314576514904,1.2042818129266382,0.9633380398476572,1.0980407161262293,1.004311061817323,1.016450182074311,1.2449019856112842,1.2174931439161296,1.3162755447606396,1.2613794337504571,1.2384633869918629,1.1651954155616298,-2.3448891383729324,0.5194243516407606,-0.7799337582204398,-1.1936366714467517,-1.235999849761126,-0.2571787570676721,0.7160159760059039,1.5306797527311575,1.0171916968346593,0.7737689026922971,0.9759868866773183,1.0087521574048424
351,0.20733368948371028,0.1682531165940039,0.1674407553616072,0.24873755837399203,0.3116073430969637,0.34735926360951336,1.0240146975751259,1.15004543193639,1.102995759488446,1.2095523020978904,0.9635129082599581,1.0518515488356068,1.2071915063465943,1.0251525624817366,1.3254180503890824,1.2994726717845806,1.0051342857612369,1.050134574055245,-0.2571787570676721,-0.3956864924158413,-2.438385996762079,0.09744738014992246,-0.009287971462465999,-1.156237928091093,1.0087521574048424,0.9807858404707438,1.2523404327124947,0.8988726636519339,0.8735540453624837,0.3771105494909093
352,0.2256816060273508,0.1527828835372681,0.15460996518587844,0.13021576608852561,0.20173814343808635,0.3041716002599416,0.9186815178602425,0.9185613130889981,0.9403220461338241,1.0461247381651662,1.0791470162971257,1.1843451930702704,1.2332819655880134,1.2106177302148402,1.2633080770381682,1.301653048157408,0.9368034557748732,1.1840612026316562,-1.156237928091093,-0.6230576135250224,0.24869716522546212,-2.0061491930232282,0.2106364972086414,0.5276984099052868,0.3771105494909093,0.8341695280233388,0.9610935818011713,0.475737324004062,1.441650885804855,0.8113331272132464
353,0.2742312472013552,0.23388607955988536,0.28759184136993826,0.18644844834677213,0.12215999551815226,0.2477228849298759,1.067882074993099,0.9449397587652811,0.8536659088896654,0.8262574672670905,1.0328050973480547,1.1042009387367597,1.4944993557264068,1.1566635462408066,0.9823611495519079,1.154249065743978,0.9109178371217057,1.0680879533855852,0.5276984099052868,-1.0306377236355848,-1.380464907059754,-0.6866023809965838,-1.9801686500726159,-2.0610889398996823,0.8113331272132464,0.6602488233029971,0.4396624299707277,0.9227019514537694,0.701784595790919,1.112343366876711
354,0.20246436759323316,0.13311336217815847,0.16526987790776632,0.20773188427000142,0.1265044188435457,0.20927710065548644,1.0555017898814003,1.0937460382012127,1.0636751854134814,0.8018457547597979,0.9948615922893213,1.1339389720229571,1.0733516471575855,1.1597714857258938,1.1179984503830211,1.2070197387424164,1.0996627282276807,1.127128131231976,-2.0610889398996823,0.22023440479549186,-1.4357356162667894,-1.1860245378433878,-0.0016758378591018403,-0.9819862610401706,1.112343366876711,0.9366023693381736,0.7605304094690554,0.599020792145503,0.8174559303289956,0.7573862673285351
355,0.18155669700100877,0.16929237049416435,0.15474617566202908,0.2689232080606985,0.16416325817243912,0.17848234710386637,1.1225078301248865,1.1621964149776736,1.0724952005168327,0.8368105111947518,0.8935555657826173,1.1640799093469416,1.0173959775610528,0.9415588217968018,1.2616629189665889,1.0446151867610507,1.1337777696828109,1.2581054228120674,-0.9819862610401706,-2.995064636799405,-0.08838796847133683,-1.1800672158929286,-1.5413125997221437,-0.24245093335681536,0.7573862673285351,1.3466646969280944,0.6680264380716519,0.8725611583707408,0.3031404686060447,0.8725611583707408
356,0.22872602763479763,0.1892980391941073,0.19946544032977134,0.22436837985083108,0.15286696189666651,0.21295283876688126,1.2754352998995935,1.1322401469752854,0.9486808710187188,0.9533689453323524,0.8696577776146285,1.1487739957794967,1.0908657275547005,1.2251310326332503,1.3599265452772569,1.095110110411969,1.1021626397544932,1.0507124101977712,-0.24245093335681536,-2.8019481169053617,-2.6616200887389967,0.12326244193524434,-1.7721588253024263,-1.8587054747493705,0.8725611583707408,0.8129879388661515,1.076433954008667,1.0646847912730397,0.843105510949027,0.6180511261539134
357,0.1611488976845815,0.12844921723920502,0.11632979947181554,0.12364203607371772,0.10278506418514982,0.17729546177935418,1.1477564592658034,1.0767068656763565,1.040961341566297,0.9816794701824558,1.0239693714723797,1.1567875808567638,1.1134222333047057,1.4938881516959728,1.2326555853901509,1.2936531112736485,1.272045569400355,1.0809925622451597,-1.8587054747493705,-0.9530270571143288,-1.6157791241028803,-2.416873445274311,-0.003496130677297641,-1.6483789136651137,0.6180511261539134,0.8085199474033075,0.7649984009318994,1.1603329048109627,0.9332927460323627,0.7775749694939793
358,0.1971825741892256,0.20963096989768634,0.08505080033973539,0.14148018485163558,0.10747488810315535,0.1066244108032756,1.007710112574137,0.973569800795194,0.9810285005645586,0.822697081066588,1.0246546808418144,1.1163220574877746,1.209240898186299,1.1213102675117168,1.1432552191868137,0.8349554922971053,1.0083171252446812,1.0977528493553719,-1.6483789136651137,-1.822961543046617,-0.11800909705834076,-1.8661521271874444,-2.2659546225293523,-0.5565341850782313,0.7775749694939793,0.5609601241286822,0.9092979770652369,0.7605304094690554,1.1330285125380266,1.1302153327280877
359,0.1996828341865452,0.11815576810222986,0.07404319726207954,0.10987293908850407,0.12568759330713422,0.21096812359090916,0.9000192397272471,0.8891258730433763,0.8387213888182261,0.7010757021848549,0.991711920937352,1.0158396809497385,0.9891818400377519,0.7118486870272354,1.0537757620747117,0.7554515117553656,1.0166903944874925,1.0735514841848393,-0.5565341850782313,-1.6808132220620564,-1.2043929471906358,-1.026666175668612,0.3738009261850988,-2.6485470766810457,1.1302153327280877,0.6911938012123252,0.6250013350961153,0.8747124135195173,0.6868912909147716,0.6211952682944334
