timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
01:38:282117,-0.4493655395507813,-0.12633728027343752,-0.030237121582031252,-0.05343511450381679,-0.030534351145038167,-0.022900763358778626
01:38:332107,-0.4559518432617188,-0.16256195068359375,-0.02604583740234375,-0.05343511450381679,-0.04580152671755725,0.0
01:38:377023,-0.44607238769531254,-0.20148101806640625,-0.023950195312500002,-0.015267175572519083,-0.05343511450381679,0.007633587786259542
01:38:392379,-0.4209246826171875,-0.19788848876953127,-0.026345214843750003,0.007633587786259542,-0.061068702290076333,0.015267175572519083
01:38:412834,-0.39966888427734376,-0.17453704833984376,-0.06256988525390625,0.0,-0.061068702290076333,0.015267175572519083
01:38:427104,-0.4110452270507813,-0.17603393554687502,-0.13202545166015625,0.007633587786259542,-0.04580152671755725,0.015267175572519083
01:38:447516,-0.41314086914062503,-0.20267852783203125,-0.15238311767578125,-0.007633587786259542,-0.022900763358778626,-0.007633587786259542
01:38:482203,-0.41882904052734377,-0.204774169921875,-0.07634124755859376,0.022900763358778626,-0.007633587786259542,-0.030534351145038167
01:38:532220,-0.4367916870117188,-0.140108642578125,-0.00449066162109375,0.07633587786259542,-0.030534351145038167,-0.015267175572519083
01:38:632077,-0.4328997802734375,-0.07813751220703126,-0.026345214843750003,0.03816793893129771,-0.061068702290076333,0.007633587786259542
01:38:677103,-0.42152343750000004,-0.12543914794921876,-0.0712518310546875,0.03816793893129771,-0.061068702290076333,0.022900763358778626
01:38:697520,-0.42840911865234377,-0.17962646484375,-0.08771759033203125,0.030534351145038167,-0.061068702290076333,0.015267175572519083
01:38:732225,-0.42541534423828126,-0.21615051269531252,-0.0700543212890625,0.04580152671755725,-0.061068702290076333,0.015267175572519083
01:38:782225,-0.4137396240234375,-0.22722747802734375,-0.052989807128906254,0.061068702290076333,-0.05343511450381679,0.007633587786259542
01:38:832225,-0.417930908203125,-0.22243743896484375,-0.06586303710937501,0.05343511450381679,-0.05343511450381679,0.0
01:38:882230,-0.4197271728515625,-0.21585113525390626,-0.08173004150390625,0.04580152671755725,-0.03816793893129771,-0.015267175572519083
01:38:932235,-0.41703277587890625,-0.20567230224609376,-0.09550140380859376,0.022900763358778626,-0.030534351145038167,-0.030534351145038167
01:38:982239,-0.40745269775390625,-0.1694476318359375,-0.08113128662109376,0.0,-0.015267175572519083,-0.03816793893129771
01:39:032240,-0.4044589233398438,-0.1395098876953125,-0.03742218017578125,-0.03816793893129771,-0.03816793893129771,-0.03816793893129771
01:39:077142,-0.434696044921875,-0.16974700927734376,-0.03861968994140625,-0.03816793893129771,-0.05343511450381679,-0.022900763358778626
01:39:132221,-0.4604425048828125,-0.19369720458984377,-0.052690429687500005,-0.022900763358778626,-0.05343511450381679,-0.007633587786259542
01:39:182226,-0.4517605590820313,-0.23321502685546877,-0.0496966552734375,0.015267175572519083,-0.06870229007633588,0.015267175572519083
01:39:232225,-0.42302032470703127,-0.28889923095703124,-0.086220703125,0.030534351145038167,-0.061068702290076333,0.015267175572519083
