timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
16:35:074310,0.086220703125,0.3841012573242188,-0.12244537353515626,-0.015267175572519083,0.0,0.007633587786259542
16:35:125092,0.08861572265625,0.377215576171875,-0.1251397705078125,-0.015267175572519083,0.0,0.007633587786259542
16:35:125197,0.08861572265625,0.377215576171875,-0.1251397705078125,-0.015267175572519083,0.0,0.007633587786259542
16:35:274887,0.0892144775390625,0.3754193115234375,-0.12903167724609377,-0.015267175572519083,0.0,0.007633587786259542
16:35:275005,0.089813232421875,0.37631744384765625,-0.1335223388671875,-0.015267175572519083,0.0,0.007633587786259542
16:35:280294,0.089813232421875,0.37631744384765625,-0.1335223388671875,-0.015267175572519083,0.0,0.007633587786259542
16:35:332993,0.08891510009765625,0.37901184082031253,-0.13741424560546875,-0.022900763358778626,0.0,0.007633587786259542
16:35:374470,0.08831634521484376,0.38200561523437504,-0.13980926513671876,-0.022900763358778626,0.0,0.007633587786259542
16:35:424213,0.08831634521484376,0.38200561523437504,-0.13980926513671876,-0.022900763358778626,0.0,0.007633587786259542
16:35:424316,0.08532257080078126,0.38290374755859374,-0.14190490722656252,-0.022900763358778626,0.0,0.007633587786259542
16:35:429537,0.08292755126953126,0.3838018798828125,-0.14190490722656252,-0.030534351145038167,0.0,0.007633587786259542
16:35:429606,0.08292755126953126,0.3838018798828125,-0.14190490722656252,-0.030534351145038167,0.0,0.007633587786259542
16:35:429677,0.0796343994140625,0.3799099731445313,-0.13651611328125002,-0.030534351145038167,0.0,0.007633587786259542
16:35:524378,0.07574249267578126,0.3733236694335938,-0.1287322998046875,-0.030534351145038167,0.0,0.007633587786259542
16:35:574507,0.07574249267578126,0.3733236694335938,-0.1287322998046875,-0.030534351145038167,0.0,0.007633587786259542
16:35:574602,0.07694000244140625,0.3592529296875,-0.14280303955078125,-0.022900763358778626,0.0,0.007633587786259542
16:35:574655,0.07604187011718751,0.3514691162109375,-0.132923583984375,-0.015267175572519083,0.0,0.007633587786259542
16:35:574718,0.07454498291015625,0.34907409667968753,-0.1395098876953125,-0.015267175572519083,0.0,0.007633587786259542
16:35:579869,0.06855743408203126,0.35296600341796874,-0.14669494628906252,-0.015267175572519083,0.0,0.007633587786259542
16:35:626240,0.08352630615234376,0.33290771484375004,-0.1335223388671875,-0.022900763358778626,-0.007633587786259542,0.007633587786259542
16:35:626380,0.07065307617187501,0.33320709228515627,-0.1478924560546875,-0.015267175572519083,0.0,0.0
16:35:724355,0.086220703125,0.31913635253906253,-0.15208374023437501,-0.022900763358778626,0.0,0.0
16:35:724472,0.06616241455078126,0.32602203369140625,-0.13621673583984376,-0.022900763358778626,-0.007633587786259542,-0.007633587786259542
16:35:724539,0.06825805664062501,0.3338058471679688,-0.1389111328125,-0.022900763358778626,0.0,0.0
16:35:775106,0.0688568115234375,0.33410522460937503,-0.12693603515625002,-0.022900763358778626,-0.007633587786259542,0.0
16:35:824368,0.0700543212890625,0.33709899902343754,-0.15417938232421877,-0.022900763358778626,0.0,0.007633587786259542
16:35:874139,0.0718505859375,0.29758117675781254,-0.1454974365234375,-0.015267175572519083,0.0,0.0
16:35:879518,0.0622705078125,0.3131488037109375,-0.1502874755859375,-0.022900763358778626,0.0,0.0
16:35:926834,0.06556365966796876,0.3143463134765625,-0.1239422607421875,-0.022900763358778626,0.0,0.0
16:35:926912,0.06825805664062501,0.3158432006835938,-0.1454974365234375,-0.030534351145038167,0.0,0.0
16:35:926984,0.060174865722656255,0.32362701416015627,-0.149688720703125,-0.022900763358778626,0.0,0.007633587786259542
16:35:974218,0.06676116943359375,0.29338989257812503,-0.15358062744140627,-0.015267175572519083,0.0,0.0
16:36:024899,0.06855743408203126,0.2942880249023438,-0.15238311767578125,-0.030534351145038167,0.0,0.0
16:36:074244,0.06077362060546875,0.29338989257812503,-0.132923583984375,-0.030534351145038167,0.0,0.0
16:36:124513,0.05059478759765625,0.30416748046875003,-0.1442999267578125,-0.030534351145038167,-0.007633587786259542,0.0
16:36:274352,0.06436614990234375,0.2760260009765625,-0.15956817626953126,-0.022900763358778626,0.0,0.0
16:36:324114,0.07304809570312501,0.25387207031250003,-0.15837066650390627,0.007633587786259542,0.0,0.0
16:36:374364,0.06376739501953126,0.2856060791015625,-0.16106506347656252,0.0,0.007633587786259542,0.0
16:36:424169,0.061372375488281256,0.3254232788085938,-0.15148498535156252,-0.015267175572519083,0.007633587786259542,0.007633587786259542
16:36:424274,0.0724493408203125,0.35715728759765625,-0.17004638671875,-0.022900763358778626,0.007633587786259542,0.015267175572519083
16:36:474419,0.08232879638671875,0.34787658691406254,-0.19040405273437502,-0.05343511450381679,0.007633587786259542,0.015267175572519083
16:36:474519,0.07753875732421875,0.35326538085937503,-0.1874102783203125,-0.07633587786259542,0.007633587786259542,0.022900763358778626
16:36:573965,0.06316864013671876,0.32183074951171875,-0.16256195068359375,-0.09923664122137404,0.0,0.022900763358778626
16:36:624182,0.07843688964843751,0.25806335449218754,-0.16016693115234376,-0.0916030534351145,0.007633587786259542,0.007633587786259542
16:36:624281,0.0688568115234375,0.2805166625976563,-0.1586700439453125,-0.08396946564885496,0.0,-0.007633587786259542
16:36:724288,0.07095245361328126,0.3104544067382813,-0.1347198486328125,-0.05343511450381679,0.0,0.0
16:36:826134,0.0652642822265625,0.34667907714843754,-0.15837066650390627,-0.03816793893129771,0.0,-0.007633587786259542
