timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
16:15:645485,-0.037122802734375,0.19639160156250002,-0.12274475097656251,-0.05343511450381679,-0.007633587786259542,-0.007633587786259542
16:15:740324,-0.03562591552734375,0.1850152587890625,-0.125738525390625,-0.05343511450381679,0.0,-0.007633587786259542
16:15:745522,-0.034129028320312504,0.173638916015625,-0.11765533447265626,-0.030534351145038167,0.0,0.0
16:15:761014,-0.037721557617187505,0.18112335205078126,-0.11346405029296876,-0.022900763358778626,0.0,0.0
16:15:766310,-0.036524047851562505,0.19249969482421875,-0.1149609375,-0.022900763358778626,-0.007633587786259542,0.0
16:15:840333,-0.03682342529296875,0.192799072265625,-0.11795471191406251,-0.022900763358778626,-0.007633587786259542,0.0
16:15:855690,-0.031734008789062504,0.1898052978515625,-0.13172607421875002,-0.030534351145038167,-0.007633587786259542,0.0
16:15:876124,-0.03323089599609375,0.192799072265625,-0.135318603515625,-0.030534351145038167,0.0,0.0
16:15:945422,-0.03502716064453125,0.197589111328125,-0.13262420654296875,-0.030534351145038167,0.0,0.0
16:15:990328,-0.0389190673828125,0.2029779052734375,-0.12424163818359375,-0.030534351145038167,-0.007633587786259542,0.0
16:16:005632,-0.026943969726562503,0.19728973388671875,-0.12424163818359375,-0.03816793893129771,-0.007633587786259542,0.0
16:16:045425,-0.02844085693359375,0.18681152343750002,-0.13561798095703126,-0.030534351145038167,0.0,0.0
16:16:140329,-0.034129028320312504,0.18621276855468752,-0.13861175537109377,-0.030534351145038167,0.0,0.0
16:16:160769,-0.03203338623046875,0.188009033203125,-0.12214599609375,-0.022900763358778626,0.0,0.0
16:16:190479,-0.034129028320312504,0.19369720458984377,-0.1119671630859375,-0.015267175572519083,-0.007633587786259542,0.0
16:16:205823,-0.037122802734375,0.19878662109375,-0.12094848632812501,-0.015267175572519083,-0.007633587786259542,0.0
16:16:245578,-0.03323089599609375,0.19788848876953127,-0.130528564453125,-0.015267175572519083,-0.007633587786259542,0.007633587786259542
16:16:295565,-0.03203338623046875,0.19249969482421875,-0.13172607421875002,-0.022900763358778626,-0.007633587786259542,0.0
16:16:345567,-0.0293389892578125,0.18082397460937502,-0.13711486816406251,-0.022900763358778626,-0.007633587786259542,0.0
16:16:395565,-0.030237121582031252,0.1754351806640625,-0.13412109375,-0.015267175572519083,-0.007633587786259542,0.0
16:16:445580,-0.03203338623046875,0.17693206787109375,-0.13561798095703126,-0.015267175572519083,0.0,0.0
16:16:495591,-0.03203338623046875,0.18681152343750002,-0.132923583984375,-0.015267175572519083,-0.007633587786259542,0.0
16:16:595425,-0.031734008789062504,0.19878662109375,-0.1347198486328125,-0.022900763358778626,-0.007633587786259542,0.0
16:16:645462,-0.030237121582031252,0.19579284667968752,-0.13172607421875002,-0.030534351145038167,-0.007633587786259542,0.007633587786259542
16:16:696141,-0.0293389892578125,0.18172210693359375,-0.13801300048828125,-0.030534351145038167,-0.007633587786259542,0.007633587786259542
16:16:791027,-0.028740234375,0.16585510253906252,-0.13262420654296875,-0.022900763358778626,-0.007633587786259542,0.0
16:16:811442,-0.02424957275390625,0.16555572509765626,-0.13202545166015625,-0.015267175572519083,0.0,0.0
16:16:840459,-0.02724334716796875,0.17094451904296876,-0.1347198486328125,-0.022900763358778626,0.0,0.0
16:16:860878,-0.05748046875,0.1484912109375,-0.1251397705078125,-0.007633587786259542,-0.007633587786259542,0.0
16:16:895614,-0.11945159912109375,0.09011260986328125,-0.11047027587890626,0.03816793893129771,-0.007633587786259542,0.0
16:16:945597,-0.06616241455078126,0.0089813232421875,-0.05957611083984375,0.10687022900763359,-0.061068702290076333,0.007633587786259542
16:16:995423,-0.02784210205078125,0.00089813232421875,-0.09969268798828125,0.06870229007633588,-0.061068702290076333,-0.007633587786259542
16:17:090504,-0.08831634521484376,0.0014968872070312501,-0.06496490478515625,0.015267175572519083,-0.0916030534351145,0.0
16:17:105926,-0.17453704833984376,-0.024548950195312502,0.01466949462890625,-0.09923664122137404,-0.17557251908396945,-0.10687022900763359
16:17:195424,-0.24219635009765625,-0.07813751220703126,0.04101470947265625,-0.0916030534351145,-0.20610687022900762,-0.10687022900763359
16:17:240499,-0.23561004638671876,-0.08951385498046875,0.045505371093750004,-0.061068702290076333,-0.11450381679389313,-0.0916030534351145
16:17:255846,-0.29937744140625,0.057779846191406255,-0.006286926269531251,-0.015267175572519083,-0.007633587786259542,-0.07633587786259542
16:17:345448,-0.23381378173828127,0.300574951171875,-0.02664459228515625,-0.2595419847328244,0.04580152671755725,-0.03816793893129771
16:17:395426,-0.18291961669921875,0.44337799072265627,0.16046630859375,-0.19083969465648853,-0.015267175572519083,0.09923664122137404
16:17:440211,-0.17124389648437502,0.622705078125,0.28680358886718754,0.03816793893129771,-0.10687022900763359,0.15267175572519084
