timestamp,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
12:00:283072,0.040415954589843754,0.5900729370117188,-0.18471588134765626,-0.05343511450381679,0.007633587786259542,0.015267175572519083
12:00:330138,0.02903961181640625,0.59156982421875,-0.1778302001953125,-0.04580152671755725,0.022900763358778626,0.015267175572519083
12:00:330277,0.042810974121093755,0.6062393188476562,-0.15777191162109375,-0.06870229007633588,0.022900763358778626,0.015267175572519083
12:00:330376,0.046702880859375004,0.5885760498046876,-0.12484039306640625,-0.061068702290076333,0.022900763358778626,0.022900763358778626
12:00:476254,0.05957611083984375,0.5697152709960938,-0.1011895751953125,-0.061068702290076333,0.030534351145038167,0.015267175572519083
12:00:626118,0.06077362060546875,0.5676196289062501,-0.067060546875,-0.11450381679389313,0.007633587786259542,0.0
12:00:676318,0.06795867919921875,0.571212158203125,-0.01526824951171875,-0.11450381679389313,-0.015267175572519083,-0.015267175572519083
12:00:726632,0.0568817138671875,0.5622308349609375,0.0005987548828125,-0.061068702290076333,-0.007633587786259542,-0.015267175572519083
12:00:826192,0.0622705078125,0.5846841430664063,-0.0014968872070312501,-0.015267175572519083,0.007633587786259542,-0.022900763358778626
12:00:926219,0.05358856201171875,0.6008505249023438,-0.037721557617187505,-0.007633587786259542,0.0,-0.022900763358778626
12:01:026384,0.05179229736328125,0.607137451171875,-0.07454498291015625,-0.030534351145038167,-0.007633587786259542,-0.022900763358778626
12:01:026504,0.05059478759765625,0.6005511474609375,-0.0963995361328125,-0.05343511450381679,-0.015267175572519083,-0.030534351145038167
12:01:026578,0.042810974121093755,0.5906716918945313,-0.101788330078125,-0.05343511450381679,-0.015267175572519083,-0.030534351145038167
12:01:026686,0.035326538085937505,0.5798941040039063,-0.12064910888671876,-0.03816793893129771,-0.015267175572519083,-0.022900763358778626
12:01:076559,0.0389190673828125,0.585582275390625,-0.12723541259765625,-0.05343511450381679,-0.007633587786259542,-0.022900763358778626
12:01:076870,0.037721557617187505,0.5885760498046876,-0.108973388671875,-0.061068702290076333,-0.007633587786259542,-0.015267175572519083
12:01:077232,0.02544708251953125,0.5766009521484375,-0.10867401123046876,-0.03816793893129771,-0.007633587786259542,0.0
12:01:127281,0.012873229980468751,0.5625302124023438,-0.1275347900390625,-0.030534351145038167,0.0,0.007633587786259542
12:01:127410,0.014070739746093752,0.5529501342773437,-0.11825408935546876,-0.04580152671755725,0.0,0.007633587786259542
12:01:127509,0.02784210205078125,0.5409750366210938,-0.1011895751953125,-0.030534351145038167,0.0,0.015267175572519083
12:01:177324,0.025147705078125002,0.5140310668945313,-0.09819580078125001,-0.022900763358778626,0.0,0.022900763358778626
12:01:227078,0.027542724609375003,0.48978149414062505,-0.10208770751953125,-0.022900763358778626,0.0,0.022900763358778626
12:01:227201,0.03592529296875,0.47062133789062505,-0.10538085937500001,-0.015267175572519083,0.0,0.022900763358778626
12:01:227298,0.042810974121093755,0.44158172607421875,-0.10298583984375001,-0.007633587786259542,0.0,0.022900763358778626
12:01:277798,0.0544866943359375,0.41703277587890625,-0.1191522216796875,-0.022900763358778626,0.007633587786259542,0.0
12:01:278052,0.06316864013671876,0.41164398193359375,-0.11076965332031251,-0.030534351145038167,0.007633587786259542,-0.015267175572519083
12:01:376451,0.05358856201171875,0.4122427368164063,-0.12005035400390626,-0.04580152671755725,0.015267175572519083,-0.03816793893129771
12:01:532561,0.04879852294921875,0.43649230957031254,-0.0940045166015625,-0.05343511450381679,0.007633587786259542,-0.05343511450381679
12:01:577410,0.0652642822265625,0.4793032836914063,-0.07334747314453126,-0.061068702290076333,0.015267175572519083,-0.05343511450381679
12:01:577516,0.06616241455078126,0.5119354248046876,-0.03263214111328125,-0.015267175572519083,-0.007633587786259542,-0.04580152671755725
12:01:577596,0.028740234375,0.54366943359375,-0.09340576171875001,-0.061068702290076333,-0.007633587786259542,-0.04580152671755725
12:01:577692,0.02784210205078125,0.5942642211914063,-0.12484039306640625,-0.17557251908396945,0.015267175572519083,-0.061068702290076333
12:01:677281,0.032332763671875,0.6137237548828125,-0.07155120849609375,-0.17557251908396945,0.007633587786259542,-0.03816793893129771
12:01:677421,-0.05957611083984375,0.7711962890625,-0.12663665771484375,-0.13740458015267176,0.007633587786259542,-0.015267175572519083
12:01:726761,-0.19609222412109376,1.232237548828125,-0.08232879638671875,-0.2595419847328244,0.022900763358778626,0.16030534351145037
12:01:726908,-0.379610595703125,1.4373110961914064,0.4293072509765625,0.07633587786259542,-0.2213740458015267,0.366412213740458
12:01:727010,-0.43349853515625003,1.6148419189453125,-0.055384826660156254,0.5190839694656488,-0.2595419847328244,0.6412213740458015
12:01:776621,-0.5882766723632813,2.155517578125,-0.335302734375,0.030534351145038167,-0.030534351145038167,0.8625954198473282
12:01:876132,-1.0205776977539063,2.5899142456054687,0.047900390625000004,-0.022900763358778626,-0.08396946564885496,1.114503816793893
12:01:927822,-1.2579840087890626,2.9797036743164065,0.1634600830078125,-0.06870229007633588,0.015267175572519083,1.4045801526717556
12:01:935679,-1.24541015625,3.2856674194335938,0.0772393798828125,-0.20610687022900762,0.06870229007633588,1.618320610687023
12:01:976594,-1.1567944335937501,3.1632220458984377,0.023950195312500002,-0.19083969465648853,0.10687022900763359,1.8091603053435115
12:01:982538,-0.83107177734375,2.9859906005859376,-0.29069549560546876,-0.366412213740458,0.09923664122137404,1.8854961832061068
